Title,Release Year,RT_score,URL,Director,Cast
Lady Bird,2017,99%,https://www.rottentomatoes.com/m/lady_bird,Greta Gerwig,"Saoirse Ronan,Laurie Metcalf,Timothée Chalamet,Lucas Hedges"
Eighth Grade,2018,99%,https://www.rottentomatoes.com/m/eighth_grade,Bo Burnham,"Elsie Fisher,Daniel Zolghadri,Fred Hechinger,Imani Lewis"
Moonlight,2016,98%,https://www.rottentomatoes.com/m/moonlight_2016,Barry Jenkins,"Mahershala Ali,Alex R. Hibbert,Ashton Sanders,Trevante Rhodes"
Minari,2020,98%,https://www.rottentomatoes.com/m/minari,Lee Isaac Chung,"Steven Yeun,Han Ye-ri,Youn Yuh-jung,Will Patton"
Marcel the Shell with Shoes On,2021,98%,https://www.rottentomatoes.com/m/marcel_the_shell_with_shoes_on,Dean Fleischer-Camp,"Jenny Slate,Rosa Salazar,Thomas Mann,Isabella Rossellini"
The Farewell,2019,97%,https://www.rottentomatoes.com/m/the_farewell_2019,Lulu Wang,"Awkwafina,Tzi Ma,Diana Lin,Gil Perez-Abraham"
Earth Mama,2023,97%,https://www.rottentomatoes.com/m/earth_mama,Savanah Leaf,"Tia Nomore,Erika Alexander,Doechii,Sharon Duncan-Brewster"
The Florida Project,2017,96%,https://www.rottentomatoes.com/m/the_florida_project,Sean Baker,"Willem Dafoe,Brooklynn Prince,Bria Vinaite,Valeria Cotto"
Aftersun,2022,96%,https://www.rottentomatoes.com/m/aftersun,Charlotte Wells,"Paul Mescal,Frankie Corio,Celia Rowlson-Hall,Kayleigh Coleman"
Amy,2015,96%,https://www.rottentomatoes.com/m/amy_2015,Asif Kapadia,"Tony Bennett,Pete Doherty,Salaam Remi,Nick Shymansky"
First Cow,2019,96%,https://www.rottentomatoes.com/m/first_cow,Kelly Reichardt,"John Magaro,Orion Lee,Alia Shawkat,Toby Jones"
Past Lives,2023,95%,https://www.rottentomatoes.com/m/past_lives,Celine Song,"Greta Lee,Teo Yoo,John Magaro,Seung-ah Moon"
Talk to Me,2023,95%,https://www.rottentomatoes.com/m/talk_to_me_2023,Danny Philippou,"Sophie Wilde,Miranda Otto,Otis Dhanji,Alexandra Jensen"
The Eternal Daughter,2022,95%,https://www.rottentomatoes.com/m/the_eternal_daughter,Joanna Hogg,"Tilda Swinton,Joseph Mydell,Carly-Sophia Davies"
Menashe,2017,95%,https://www.rottentomatoes.com/m/menashe,Joshua Z Weinstein,"Menashe Lustig,Ruben Niborski,Yoel Weisshaus,Meir Ber Schwartz"
De Palma,2015,95%,https://www.rottentomatoes.com/m/de_palma,Noah Baumbach,Brian De Palma
Krisha,2015,95%,https://www.rottentomatoes.com/m/krisha_2016,Trey Edward Shults,"Krisha Fairchild,Robyn Fairchild,Bill Wise,Chris Doubek"
First Reformed,2017,94%,https://www.rottentomatoes.com/m/first_reformed,Paul Schrader,"Ethan Hawke,Amanda Seyfried,Philip Ettinger,Cedric the Entertainer"
X,2022,94%,https://www.rottentomatoes.com/m/x_2022,Ti West,"Mia Goth,Jenna Ortega,Martin Henderson,Brittany Snow"
You Hurt My Feelings,2023,94%,https://www.rottentomatoes.com/m/you_hurt_my_feelings_2023,Nicole Holofcener,"Julia Louis-Dreyfus,Tobias Menzies,Michaela Watkins,Arian Moayed"
C'mon C'mon,2021,94%,https://www.rottentomatoes.com/m/cmon_cmon,Mike Mills,"Joaquin Phoenix,Gaby Hoffmann,Woody Norman,Scoot McNairy"
Love Lies Bleeding,2024,94%,https://www.rottentomatoes.com/m/love_lies_bleeding_2024,Rose Glass,"Anna Baryshnikov,Kristen Stewart,Dave Franco,Katy M. O'Brian"
Everything Everywhere All at Once,2022,93%,https://www.rottentomatoes.com/m/everything_everywhere_all_at_once,Dan Kwan,"Michelle Yeoh,Stephanie Hsu,Ke Huy Quan,James Hong"
The Zone of Interest,2023,93%,https://www.rottentomatoes.com/m/the_zone_of_interest,Jonathan Glazer,"Christian Friedel,Sandra Hüller,Medusa Knopf,Daniel Holzberg"
Room,2015,93%,https://www.rottentomatoes.com/m/room_2015,Lenny Abrahamson,"Brie Larson,Jacob Tremblay,Joan Allen,Sean Bridgers"
