,Title,Release Year,RT_score,URL,Director,Cast,Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,audience_score,number_audience_reviews,Rerelease Date (Theaters)
0,Lady Bird,2017,99%,https://www.rottentomatoes.com/m/lady_bird,Greta Gerwig,"Saoirse Ronan,Laurie Metcalf,Timothée Chalamet,Lucas Hedges",Greta Gerwig,"Scott Rudin,Eli Bush,Evelyn O'Neill",Greta Gerwig,A24,"Scott Rudin Productions,A24",R (Language|Brief Graphic Nudity|Sexual Content|Teen Partying),"Comedy,Drama",English,"Nov 22, 2017, Wide","Feb 13, 2018",$48.9M,1h 34m,Dolby Digital,Flat (1.85:1),79%,"10,000+ Ratings",
1,Eighth Grade,2018,99%,https://www.rottentomatoes.com/m/eighth_grade,Bo Burnham,"Elsie Fisher,Daniel Zolghadri,Fred Hechinger,Imani Lewis",Bo Burnham,"Scott Rudin,Eli Bush,Lila Yacoub,Christopher Storer",Bo Burnham,A24,A24,R (Some Sexual Material|Language),"Comedy,Drama",English,"Aug 3, 2018, Wide","Sep 25, 2018",$13.5M,1h 33m,,Flat (1.85:1),82%,"5,000+ Ratings",
2,Moonlight,2016,98%,https://www.rottentomatoes.com/m/moonlight_2016,Barry Jenkins,"Mahershala Ali,Alex R. Hibbert,Ashton Sanders,Trevante Rhodes",Barry Jenkins,"Adele Romanski,Dede Gardner,Jeremy Kleiner",Barry Jenkins,A24,"Plan B Entertainment,Upload Films,Pastel",R (Drug Use|Brief Violence|Language Throughout|Some Sexuality),"Drama,LGBTQ+",English,"Nov 18, 2016, Wide","Feb 21, 2017",$27.9M,1h 51m,Dolby Digital,Scope (2.35:1),79%,"25,000+ Ratings",
3,Minari,2020,98%,https://www.rottentomatoes.com/m/minari,Lee Isaac Chung,"Steven Yeun,Han Ye-ri,Youn Yuh-jung,Will Patton",Lee Isaac Chung,"Dede Gardner,Jeremy Kleiner,Christina Oh",Lee Isaac Chung,A24,Plan B Entertainment,PG-13 (Some Thematic Elements|A Rude Gesture),Drama,English,"Feb 12, 2021, Limited","Feb 26, 2021",$700.0K,1h 55m,,,87%,"1,000+ Ratings",
4,Marcel the Shell with Shoes On,2021,98%,https://www.rottentomatoes.com/m/marcel_the_shell_with_shoes_on,Dean Fleischer-Camp,"Jenny Slate,Rosa Salazar,Thomas Mann,Isabella Rossellini",Dean Fleischer-Camp,"Dean Fleischer-Camp,Andrew Goldman,Elisabeth Holm,Caroline Kaplan,Terry Leonard,Paul Mezey,Jenny Slate","Dean Fleischer-Camp,Jenny Slate,Nick Paley",A24,Cinereach,PG (Thematic Elements|Some Suggestive Material),"Kids & Family,Comedy,Animation",English,"Jul 22, 2022, Wide","Sep 6, 2022",$5.7M,1h 29m,,,90%,"1,000+ Ratings",
5,The Farewell,2019,97%,https://www.rottentomatoes.com/m/the_farewell_2019,Lulu Wang,"Awkwafina,Tzi Ma,Diana Lin,Gil Perez-Abraham",Lulu Wang,"Chris Weitz,Andrew Miano,Peter Saraf,Marc Turtletaub,Anita Gou,Daniele Tate Melia,Jane Zheng,Dani Melia",Lulu Wang,A24,"Big Beach,Kindred Spirit,Ray Production",PG (Some Smoking|Brief Language|Thematic Material),"Comedy,Drama",English,"Aug 2, 2019, Wide","Aug 27, 2019",$17.7M,1h 40m,,Scope (2.35:1),87%,"1,000+ Verified Ratings",
6,Earth Mama,2023,97%,https://www.rottentomatoes.com/m/earth_mama,Savanah Leaf,"Tia Nomore,Erika Alexander,Doechii,Sharon Duncan-Brewster",Savanah Leaf,"Cody Ryder,Shirley O'Connor,Medb Riordan,Sam Bisbee,Savanah Leaf",Savanah Leaf,A24,"Net-Net Worldwide,A24,Film4,Academy Films,Park Pictures",R (Some Drug Use|Language|Sexual References|Nudity),Drama,English,"Jul 7, 2023, Limited",,,1h 37m,Dolby Digital,,74%,50+ Ratings,
7,The Florida Project,2017,96%,https://www.rottentomatoes.com/m/the_florida_project,Sean Baker,"Willem Dafoe,Brooklynn Prince,Bria Vinaite,Valeria Cotto",Sean Baker,"Sean Baker,Chris Bergoch,Shih-Ching Tsou,Andrew Duncan,Alex Saks,Kevin Chinoy,Francesca Silvestri","Sean Baker,Chris Bergoch",A24,"Cinereach,Cre Film,June Pictures,Freestyle Picture Company",R (Language Throughout|Disturbing Behavior|Sexual References|Some Drug Material),Drama,English,"Oct 6, 2017, Limited","Jan 30, 2018",$5.8M,1h 55m,,Scope (2.35:1),81%,"10,000+ Ratings",
8,Aftersun,2022,96%,https://www.rottentomatoes.com/m/aftersun,Charlotte Wells,"Paul Mescal,Frankie Corio,Celia Rowlson-Hall,Kayleigh Coleman",Charlotte Wells,"Mark Ceryak,Amy Jackson,Barry Jenkins,Adele Romanski",Charlotte Wells,A24,"Unified Theory,Screen Scotland,AZ Celtic Films,Pastel,BBC Film,Tango Entertainment (III)",R (Some Language|Brief Sexual Material),Drama,English (United Kingdom),"Oct 21, 2022, Limited","Dec 20, 2022",,1h 41m,,Flat (1.85:1),81%,"1,000+ Ratings",
9,Amy,2015,96%,https://www.rottentomatoes.com/m/amy_2015,Asif Kapadia,"Tony Bennett,Pete Doherty,Salaam Remi,Nick Shymansky",Asif Kapadia,James Gay-Rees,,A24,Film4,R (Language|Drug Material),"Documentary,Biography,Music",English,"Jul 3, 2015, Limited","Jul 27, 2016",$8.4M,2h 8m,,Flat (1.85:1),87%,"10,000+ Ratings",
10,First Cow,2019,96%,https://www.rottentomatoes.com/m/first_cow,Kelly Reichardt,"John Magaro,Orion Lee,Alia Shawkat,Toby Jones",Kelly Reichardt,"Neil Kopp,Vincent Savino,Anish Savjani","Jonathan Raymond,Kelly Reichardt",A24,Film Science,PG-13 (Brief Strong Language),"Western,Drama",English,"Mar 6, 2020, Limited","Jul 10, 2020",$161.0K,2h 2m,,,65%,500+ Ratings,
11,Past Lives,2023,95%,https://www.rottentomatoes.com/m/past_lives,Celine Song,"Greta Lee,Teo Yoo,John Magaro,Seung-ah Moon",Celine Song,"David Hinojosa,Christine Vachon,Pamela Koffler",Celine Song,A24,"The Searchers NV,Killer Films,2AM,A24,CJ ENM Co.",PG-13 (Some Strong Language),"Romance,Drama",English,"Jun 30, 2023, Wide","Aug 22, 2023",$9.9M,1h 46m,Dolby Digital,Flat (1.85:1),84%,"2,500+ Ratings",
12,Talk to Me,2023,95%,https://www.rottentomatoes.com/m/talk_to_me_2023,Danny Philippou,"Sophie Wilde,Miranda Otto,Otis Dhanji,Alexandra Jensen","Danny Philippou,Michael Philippou","Samantha Jennings,Kristina Ceyton","Bill Hinzman,Danny Philippou",A24,"The South Australian Film Corporation,Screen Australia,Causeway Films,Metrol Technology,Première TV Distribution,Head Gear Films,Talk to Me Holdings",R (Some Sexual Material|Language Throughout|Strong/Bloody Violent Content),"Horror,Mystery & Thriller",English,"Jul 28, 2023, Wide","Sep 12, 2023",$47.6M,1h 35m,Dolby Digital,Digital 2.39:1,82%,"1,000+ Verified Ratings",
