,Title,Release Year,Rating,URL,Director,Cast,Audience Score,Genre,Duration,Box Office,Production Co
0,Lady Bird,2017,R (Language|Brief Graphic Nudity|Sexual Content|Teen Partying),https://www.rottentomatoes.com/m/lady_bird,Greta Gerwig,"Saoirse Ronan,Laurie Metcalf,Timothée Chalamet,Lucas Hedges",79,Comedy/Drama,1h34m,$48.9M,"Scott Rudin Productions, 
                            
                            A24"
1,Eighth Grade,2018,R (Some Sexual Material|Language),https://www.rottentomatoes.com/m/eighth_grade,Bo Burnham,"Elsie Fisher,Daniel Zolghadri,Fred Hechinger,Imani Lewis",82,Comedy/Drama,1h33m,$13.5M,A24
2,Marcel the Shell with Shoes On,2021,PG (Thematic Elements|Some Suggestive Material),https://www.rottentomatoes.com/m/marcel_the_shell_with_shoes_on,Dean Fleischer-Camp,"Jenny Slate,Rosa Salazar,Thomas Mann,Isabella Rossellini",90,Kids&family/Comedy,1h29m,$5.7M,Cinereach
3,Moonlight,2016,R (Drug Use|Brief Violence|Language Throughout|Some Sexuality),https://www.rottentomatoes.com/m/moonlight_2016,Barry Jenkins,"Mahershala Ali,Alex R. Hibbert,Ashton Sanders,Trevante Rhodes",79,Drama/Lgbtq+,1h51m,$27.9M,"Plan B Entertainment, 
                            
                            Upload Films, 
                            
                            Pastel"
4,Minari,2020,PG-13 (Some Thematic Elements|A Rude Gesture),https://www.rottentomatoes.com/m/minari,Lee Isaac Chung,"Steven Yeun,Han Ye-ri,Youn Yuh-jung,Will Patton",87,Drama,1h55m,$700.0K,Plan B Entertainment
5,The Farewell,2019,,https://www.rottentomatoes.com/m/the_farewell_2019,Lulu Wang,"Awkwafina,Tzi Ma,Diana Lin,Gil Perez-Abraham",,,,,
6,Earth Mama,2023,R (Some Drug Use|Language|Sexual References|Nudity),https://www.rottentomatoes.com/m/earth_mama,Savanah Leaf,"Tia Nomore,Erika Alexander,Doechii,Sharon Duncan-Brewster",75,Drama,1h37m,,"Net-Net Worldwide, 
                            
                            A24, 
                            
                            Film4, 
                            
                            Academy Films, 
                            
                            Park Pictures"
7,The Florida Project,2017,R (Language Throughout|Disturbing Behavior|Sexual References|Some Drug Material),https://www.rottentomatoes.com/m/the_florida_project,Sean Baker,"Willem Dafoe,Brooklynn Prince,Bria Vinaite,Valeria Cotto",81,Drama,1h55m,$5.8M,"Cinereach, 
                            
                            Cre Film, 
                            
                            June Pictures, 
                            
                            Freestyle Picture Company"
8,Aftersun,2022,R (Some Language|Brief Sexual Material),https://www.rottentomatoes.com/m/aftersun,Charlotte Wells,"Paul Mescal,Frankie Corio,Celia Rowlson-Hall,Kayleigh Coleman",81,Drama,1h41m,,"Unified Theory, 
                            
                            Screen Scotland, 
                            
                            AZ Celtic Films, 
                            
                            Pastel, 
                            
                            BBC Film, 
                            
                            Tango Entertainment (III)"
9,First Cow,2019,PG-13 (Brief Strong Language),https://www.rottentomatoes.com/m/first_cow,Kelly Reichardt,"John Magaro,Orion Lee,Alia Shawkat,Toby Jones",65,Western/Drama,2h2m,$161.0K,Film Science
